group,layer,head,enrichment_date
is_words,0,4,1.1930655241012573
is_words,0,5,0.8735527992248535
is_words,0,6,0.7959282398223877
is_words,0,7,0.8437491059303284
is_words,0,8,1.099246859550476
is_words,0,9,0.9444987773895264
is_words,0,10,0.9409801363945007
is_words,0,11,1.0464478731155396
is_words,1,0,0.4649604856967926
is_words,1,1,0.48369964957237244
is_words,1,2,0.8938023447990417
is_words,1,3,0.2756112515926361
is_words,1,4,0.4593464434146881
is_words,1,5,0.19113335013389587
is_words,1,6,0.37403565645217896
is_words,1,7,0.4808256924152374
is_words,1,8,0.3514190912246704
is_words,1,9,0.03969953954219818
is_words,1,10,0.17518308758735657
is_words,1,11,0.5901659727096558
is_words,2,0,0.2624163031578064
is_words,2,1,0.7371330261230469
is_words,2,2,0.13831377029418945
is_words,2,3,0.5237119197845459
is_words,2,4,0.4283263087272644
is_words,2,5,0.5005204677581787
is_words,2,6,0.5157839059829712
is_words,2,7,0.6274397373199463
is_words,2,8,0.5717658400535583
is_words,2,9,0.41724568605422974
is_words,2,10,0.3197765350341797
is_words,2,11,0.24892431497573853
is_words,3,0,0.5474016666412354
is_words,3,1,0.46871232986450195
is_words,3,2,0.37300604581832886
is_words,3,3,0.4952055811882019
is_words,3,4,0.3834476172924042
is_words,3,5,0.5811203718185425
is_words,3,6,0.5876296758651733
is_words,3,7,0.5615310668945312
is_words,3,8,0.6643959879875183
is_words,3,9,0.5299875140190125
is_words,3,10,0.3523453176021576
is_words,3,11,0.9888402819633484
is_words,4,0,0.36029669642448425
is_words,4,1,0.7689211368560791
is_words,4,2,0.5419920682907104
is_words,4,3,0.3280963599681854
is_words,4,4,0.3806694746017456
is_words,4,5,0.40389055013656616
is_words,4,6,0.35237911343574524
is_words,4,7,0.3439806401729584
is_words,4,8,0.7029823660850525
is_words,4,9,0.43762603402137756
is_words,4,10,0.30465948581695557
is_words,4,11,0.3926507830619812
is_words,5,0,0.22410504519939423
is_words,5,1,0.6342172026634216
is_words,5,2,0.224637970328331
is_words,5,3,0.5451867580413818
is_words,5,4,0.18628078699111938
is_words,5,5,0.47181645035743713
is_words,5,6,0.15755042433738708
is_words,5,7,0.36006587743759155
is_words,5,8,0.3892688751220703
is_words,5,9,0.31439244747161865
is_words,5,10,0.2459232658147812
is_words,5,11,0.1361141949892044
is_words,6,0,0.8125508427619934
is_words,6,1,0.5940472483634949
is_words,6,2,0.5741265416145325
is_words,6,3,0.7058947682380676
is_words,6,4,0.6264631152153015
is_words,6,5,0.7714380025863647
is_words,6,6,0.5174357295036316
is_words,6,7,0.4910488426685333
is_words,6,8,0.8474898934364319
is_words,6,9,0.6560152173042297
is_words,6,10,0.7810254693031311
is_words,6,11,0.5961007475852966
is_words,7,0,0.9921736717224121
is_words,7,1,0.7477920651435852
is_words,7,2,0.4801638126373291
is_words,7,3,0.6466583013534546
is_words,7,4,0.48157593607902527
is_words,7,5,0.7291678190231323
is_words,7,6,0.8587655425071716
is_words,7,7,0.36896055936813354
is_words,7,8,1.0087922811508179
is_words,7,9,0.32700875401496887
is_words,7,10,0.5177088379859924
is_words,7,11,0.5984874963760376
is_words,8,0,0.6083062887191772
is_words,8,1,0.42467713356018066
is_words,8,2,0.35811281204223633
is_words,8,3,0.5821328163146973
is_words,8,4,0.24652564525604248
is_words,8,5,0.3604549169540405
is_words,8,6,0.8238311409950256
is_words,8,7,0.9263535141944885
is_words,8,8,0.14735135436058044
is_words,8,9,0.9057347178459167
is_words,8,10,0.6351222991943359
is_words,8,11,0.8534902334213257
is_words,9,0,0.2449384480714798
is_words,9,1,0.5458696484565735
is_words,9,2,0.5410067439079285
is_words,9,3,0.19010920822620392
is_words,9,4,0.8670806288719177
is_words,9,5,0.6014519929885864
is_words,9,6,0.43381544947624207
is_words,9,7,0.5957282781600952
is_words,9,8,0.36000481247901917
is_words,9,9,0.6348351836204529
is_words,9,10,0.2267964482307434
is_words,9,11,0.45461228489875793
is_words,10,0,0.3119104206562042
is_words,10,1,0.3134661912918091
is_words,10,2,0.38592529296875
is_words,10,3,0.32046225666999817
is_words,10,4,0.8773303031921387
is_words,10,5,0.5722213983535767
is_words,10,6,0.09637872874736786
is_words,10,7,0.1187133714556694
is_words,10,8,0.533237636089325
is_words,10,9,0.6611281633377075
is_words,10,10,0.14949646592140198
is_words,10,11,0.48233669996261597
is_words,11,0,0.006798002868890762
is_words,11,1,0.16815997660160065
is_words,11,2,0.10473712533712387
is_words,11,3,0.21200814843177795
is_words,11,4,0.007407678756862879
is_words,11,5,0.09634632617235184
