group,layer,head,enrichment_uid
seen_own_id,0,3,1.1287848949432373
seen_own_id,0,4,1.4370027780532837
seen_own_id,0,5,0.46977707743644714
seen_own_id,0,6,0.6041629314422607
seen_own_id,0,7,0.9672194719314575
seen_own_id,0,8,0.9107128977775574
seen_own_id,0,9,0.7714752554893494
seen_own_id,0,10,1.1873260736465454
seen_own_id,0,11,1.1059805154800415
seen_own_id,1,0,0.3261166214942932
seen_own_id,1,1,0.3914017081260681
seen_own_id,1,2,0.8035259246826172
seen_own_id,1,3,0.22136430442333221
seen_own_id,1,4,0.28039249777793884
seen_own_id,1,5,0.493971586227417
seen_own_id,1,6,0.336338073015213
seen_own_id,1,7,0.8140175938606262
seen_own_id,1,8,0.5819578170776367
seen_own_id,1,9,0.06853020936250687
seen_own_id,1,10,0.1587028056383133
seen_own_id,1,11,0.5264816880226135
seen_own_id,2,0,0.23138391971588135
seen_own_id,2,1,0.5918964743614197
seen_own_id,2,2,0.09073525667190552
seen_own_id,2,3,0.5814211964607239
seen_own_id,2,4,0.5093011260032654
seen_own_id,2,5,0.6937618851661682
seen_own_id,2,6,0.27784082293510437
seen_own_id,2,7,0.5309486389160156
seen_own_id,2,8,0.8935672640800476
seen_own_id,2,9,0.5825592279434204
seen_own_id,2,10,0.48394349217414856
seen_own_id,2,11,0.3263917565345764
seen_own_id,3,0,0.3415449261665344
seen_own_id,3,1,0.2829454839229584
seen_own_id,3,2,0.7345741987228394
seen_own_id,3,3,0.9603476524353027
seen_own_id,3,4,0.16957037150859833
seen_own_id,3,5,0.4162055253982544
seen_own_id,3,6,0.3534240126609802
seen_own_id,3,7,0.46248170733451843
seen_own_id,3,8,0.515364944934845
seen_own_id,3,9,0.34237217903137207
seen_own_id,3,10,0.20939983427524567
seen_own_id,3,11,0.7438088655471802
seen_own_id,4,0,1.0477542877197266
seen_own_id,4,1,1.4790716171264648
seen_own_id,4,2,0.5334103107452393
seen_own_id,4,3,0.44761401414871216
seen_own_id,4,4,0.6538140177726746
seen_own_id,4,5,0.6272192001342773
seen_own_id,4,6,0.1543743908405304
seen_own_id,4,7,0.557002067565918
seen_own_id,4,8,1.07882821559906
seen_own_id,4,9,1.4583889245986938
seen_own_id,4,10,1.097151279449463
seen_own_id,4,11,0.7851047515869141
seen_own_id,5,0,0.46024858951568604
seen_own_id,5,1,0.7536044716835022
seen_own_id,5,2,0.3291263282299042
seen_own_id,5,3,0.6061128377914429
seen_own_id,5,4,1.5444966554641724
seen_own_id,5,5,0.4945002794265747
seen_own_id,5,6,0.2781948745250702
seen_own_id,5,7,1.004352331161499
seen_own_id,5,8,0.4210367500782013
seen_own_id,5,9,0.610701322555542
seen_own_id,5,10,0.8067434430122375
seen_own_id,5,11,0.720277726650238
seen_own_id,6,0,1.0635119676589966
seen_own_id,6,1,1.7245110273361206
seen_own_id,6,2,1.6329914331436157
seen_own_id,6,3,1.005179524421692
seen_own_id,6,4,0.5756382942199707
seen_own_id,6,5,0.6456975340843201
seen_own_id,6,6,0.46074947714805603
seen_own_id,6,7,0.8449664115905762
seen_own_id,6,8,1.5991536378860474
seen_own_id,6,9,1.315272569656372
seen_own_id,6,10,0.9915282726287842
seen_own_id,6,11,1.9186731576919556
seen_own_id,7,0,1.9246901273727417
seen_own_id,7,1,0.6383078694343567
seen_own_id,7,2,0.9583944082260132
seen_own_id,7,3,0.6947209239006042
seen_own_id,7,4,0.46118396520614624
seen_own_id,7,5,1.3597285747528076
seen_own_id,7,6,0.8024381399154663
seen_own_id,7,7,0.5647384524345398
seen_own_id,7,8,1.1099212169647217
seen_own_id,7,9,1.6430797576904297
seen_own_id,7,10,0.4400021731853485
seen_own_id,7,11,0.7100831866264343
seen_own_id,8,0,0.8508867621421814
seen_own_id,8,1,1.2963682413101196
seen_own_id,8,2,1.439332365989685
seen_own_id,8,3,0.8012582063674927
seen_own_id,8,4,2.085777759552002
