group,layer,head,enrichment_uid,enrichment_date
seen_own_id,10,7,2.0187020301818848,0.2617270052433014
seen_own_id,10,8,0.964521586894989,0.6823884844779968
seen_own_id,10,9,3.009934425354004,0.4771299362182617
seen_own_id,10,10,0.6767986416816711,0.46053025126457214
seen_own_id,10,11,0.8092380166053772,0.47037819027900696
seen_own_id,11,0,0.11599121987819672,0.00900268740952015
seen_own_id,11,1,0.5939886569976807,0.12815462052822113
seen_own_id,11,2,0.022005219012498856,0.047911811619997025
seen_own_id,11,3,1.141769289970398,0.2012958973646164
seen_own_id,11,4,0.019036518409848213,0.004894543439149857
seen_own_id,11,5,0.32621562480926514,0.06727469712495804
seen_own_id,11,6,0.21779346466064453,0.6013826727867126
seen_own_id,11,7,0.40964198112487793,0.43861672282218933
seen_own_id,11,8,0.06744460761547089,0.013501751236617565
seen_own_id,11,9,0.3126099407672882,0.45853865146636963
seen_own_id,11,10,0.13027061522006989,0.04261438921093941
seen_own_id,11,11,0.14010749757289886,0.03682670742273331
seen_unknown,0,0,0.8400907516479492,1.0072537660598755
seen_unknown,0,1,1.1900508403778076,1.019932746887207
seen_unknown,0,2,1.0677021741867065,1.0073034763336182
seen_unknown,0,3,1.0626461505889893,1.0349845886230469
seen_unknown,0,4,1.2782922983169556,1.090622067451477
seen_unknown,0,5,0.5488695502281189,0.8586947321891785
seen_unknown,0,6,0.5613642930984497,0.9825088381767273
seen_unknown,0,7,1.0323231220245361,0.9430844783782959
seen_unknown,0,8,1.0849608182907104,0.9475092887878418
seen_unknown,0,9,0.7188102602958679,1.0148370265960693
seen_unknown,0,10,1.2672443389892578,1.0879472494125366
seen_unknown,0,11,1.0728607177734375,1.024819016456604
seen_unknown,1,0,0.46390700340270996,0.7025901675224304
seen_unknown,1,1,0.6585729122161865,0.5991976261138916
seen_unknown,1,2,0.8069002628326416,1.0041813850402832
seen_unknown,1,3,0.2102222889661789,0.4324630796909332
seen_unknown,1,4,0.32428547739982605,0.6147081851959229
seen_unknown,1,5,0.5183842182159424,0.3951425552368164
