mass_date_tokens,mass_cls,mass_content,enrichment_date,enrichment_content,n_date_tokens,seq_len,group
0.07435686141252518,0.26757413148880005,0.6580690070986748,0.2081992119550705,1.0838783646331114,10,28,seen
0.05431612208485603,0.32344985008239746,0.6222340278327465,0.13579030521214008,1.1111321925584758,10,25,seen
0.04911693558096886,0.4173011779785156,0.5335818864405155,0.127704032510519,0.9248752698302269,10,26,seen
0.09757265448570251,0.2607285678386688,0.6416987776756287,0.23417437076568604,1.1846746664780838,10,24,seen
0.07669587433338165,0.2851754426956177,0.6381286829710007,0.20707886070013048,1.0768421525135636,10,27,seen
0.103791743516922,0.28406473994255066,0.6121435165405273,0.259479358792305,1.0931134223937988,10,25,seen
0.09092585742473602,0.27096128463745117,0.6381128579378128,0.23640722930431365,1.106062287092209,10,26,seen
0.050355952233076096,0.3347894251346588,0.6148546226322651,0.13092547580599784,1.0657480125625929,10,26,seen
0.08279716968536377,0.29409146308898926,0.623111367225647,0.21527264118194578,1.0800597031911214,10,26,seen
0.09814530611038208,0.29369378089904785,0.6081609129905701,0.2453632652759552,1.0860016303403035,10,25,seen
0.08969959616661072,0.32746511697769165,0.5828352868556976,0.23321895003318785,1.0102478305498759,10,26,seen
0.09440476447343826,0.2834703326225281,0.6221249029040337,0.23601191118359566,1.1109373266143456,10,25,seen
0.08915233612060547,0.2617284655570984,0.6491191983222961,0.2317960739135742,1.1251399437586467,10,26,seen
0.0966438502073288,0.26606664061546326,0.637289509177208,0.241609625518322,1.1380169806735856,10,25,seen
0.09300240874290466,0.2788356840610504,0.6281619071960449,0.2511065036058426,1.0600232183933258,10,27,seen
0.1034383773803711,0.34675076603889465,0.5498108565807343,0.26893978118896483,0.9530054847399394,10,26,seen
0.09326086938381195,0.26093238592147827,0.6458067446947098,0.24247826039791107,1.1193983574708304,10,26,seen
0.10029822587966919,0.3183862268924713,0.5813155472278595,0.2607753872871399,1.0076136151949566,10,26,seen
0.043463826179504395,0.4484695494174957,0.5080666244029999,0.11735233068466187,0.8573624286800623,10,27,seen
0.07823497802019119,0.27858346700668335,0.6431815549731255,0.20341094285249708,1.1148480286200841,10,26,seen
0.1326082944869995,0.35679835081100464,0.5105933547019958,0.3049990773200989,0.9786372631788254,10,23,seen
0.08911214768886566,0.2540455758571625,0.6568422764539719,0.23169158399105072,1.138526612520218,10,26,seen
0.03828824311494827,0.3660818636417389,0.5956298932433128,0.10337825641036034,1.0051254448480904,10,27,seen
0.038012757897377014,0.35845622420310974,0.6035310178995132,0.30832570294539136,0.6993295921692773,9,73,seen
0.02839423157274723,0.48050352931022644,0.49110223911702633,0.07887286547985342,0.8185037318617105,9,25,seen
